Appellation,Robert,J.Robinson,J.Suckling,Prix
Pessac-Léognan,None,16.5,97.5,66.0
Saint-Julien,None,16.5,94.5,54.0
Saint-Emilion,None,17.5,97.0,85.0
Pomerol,None,16.5,95.0,33.0
Saint-Emilion,None,16.0,94.0,23.0
Saint-Emilion,None,14.5,89.0,20.0
Saint-Julien,None,17.0,93.5,89.0
Médoc,None,16.0,93.5,23.5
Saint-Julien,None,16.5,95.0,63.0
Bordeaux Blancs Secs,None,14.5,None,24.0
Saint-Emilion,None,16.0,92.5,27.24
Saint-Emilion,None,15.0,92.0,23.5
Saint-Emilion,None,16.5,97.0,134.17
Saint-Estèphe,None,16.5,93.0,59.0
Saint-Emilion,None,16.5,95.0,36.42
Saint-Emilion,None,16.5,93.0,24.5
Saint-Emilion,None,16.0,93.0,24.0
Pessac-Léognan,None,15.0,95.0,91.0
Saint-Estèphe,None,18.0,99.0,282.0
Saint-Emilion,None,15.5,92.0,22.5
Lalande de Pomerol,None,17.0,91.0,20.0
Pessac-Léognan,None,16.5,92.0,29.5
Haut-Médoc,None,14.0,None,61.0
Saint-Emilion,None,16.0,92.0,19.5
Saint-Emilion,None,16.5,97.0,139.0
Saint-Emilion,None,16.5,94.5,66.0
Margaux,None,15.0,93.0,47.0
Pauillac,None,16.5,97.5,98.0
Saint-Emilion,None,None,None,16.0
Saint-Estèphe,None,17.0,95.0,62.0
Saint-Emilion,None,16.5,94.0,24.5
Pauillac,None,16.5,92.0,54.0
Pessac-Léognan,None,16.5,98.0,235.0
Haut-Médoc,None,None,90.0,16.5
Pessac-Léognan,None,16.5,93.0,45.5
Saint-Emilion,None,14.5,92.0,93.0
Saint-Emilion,None,16.5,93.5,49.8
Margaux,None,16.5,94.5,30.17
Pomerol,None,16.0,91.0,38.0
Canon-Fronsac,None,None,92.0,22.83
Puisseguin-Saint-Emilion,None,None,93.5,51.67
Moulis,None,15.5,92.5,29.33
Margaux,None,16.5,96.0,45.0
Pessac-Léognan,None,16.0,93.5,33.0
Pauillac,None,17.5,95.0,65.0
Moulis,None,16.5,92.5,25.0
Pessac-Léognan,None,None,93.0,22.33
Pessac-Léognan,None,17.0,94.0,34.33
Pauillac,None,None,94.5,51.17
Barsac,None,17.5,None,124.83
Saint-Emilion,None,None,None,19.92
Pessac-Léognan,None,17.5,97.0,97.0
Saint-Emilion,None,18.0,100.0,395.0
Pessac-Léognan,None,None,94.0,26.0
Pomerol,None,None,92.5,31.0
Pauillac,None,19.0,100.0,850.0
Saint-Julien,None,17.0,95.5,48.0
